,prompt,completion
19925,How can a parasite cause keratitis?,1
98186,my post ablation wpw and is having palpiations. he just finished a course of z-pack. cause? <link>,1
622,In what time period was the Siddhanta Shiromani written?,0
1465,What method of lighting have been used since 1820s?,0
194,At what university was Hans Winkler employed when he created the word genome?,0
28256,What are biologics for Crohn's disease?,1
129,How is it feel ?,0
64873,i have not got my period this month i feel nausea and i have sore breast could i be preganant,1
60432,atkins diet: do i need under 9grams of any carb including fiber per hour?,1
27220,How are esophageal manometric and impedance studies used for gastroesophageal reflux disease (GERD)?,1
1373,What other US departments does the Air Force coordinate with for nuclear security? ,0
5109,What is fainting?,1
604,How many copies of the game had been sold on Gamecube as of March 2007?,0
25509,What should you do before you travel if you're taking warfarin for heart disease?,1
1359,What practice differentiates the Angican Communon from Protestant churches at large?,0
175,At what meeting did the United Nations give Italy trusteeship of Italian Somaliland?,0
23993,Who is more likely to get brucellosis?,1
89088,i'm 16 years old. i just took my heart rate and it was 113 at rest. is that bad?,1
528,How was the decor?,0
362,Duke University and Shaw University are examples of what type of colleges that are in North Carolina?,0
526,Galicia was incorporated into the Roman Empire under whose rule?,0
413,Does the piece are big enough?,0
44245,What is ovulation?,1
20751,Who should you talk to if you have fibro fog and fatigue?,1
69,How is the book?,0
44,Where did the idea of ​​the writer come from?,0
649,Why have humans had a relationship with birds since the dawn of man?,0
103612,what happen if my aplastic anemia getting worst? because i keep fainting several times and sometimes i can't even stand for too long.,1
141,A bridge connecting two of St. Luke's-Roosevelt Hospital Center's buildings crosses above which road?,0
712,Extremely bright lights used to deter crime are called?,0
42626,How do over-the-counter antiperspirants help treat hyperhidrosis?,1
1325,What radical MP did Victoria object to being appointed to the cabinet by Gladstone? ,0
108251,off and on chest pain for months. dx anxiety. been feeling sternum pain when i take a deep breath. echo ekg stress holter fine. is my heart ok? anxiety?,1
23087,What are symptoms of a broken arm?,1
72,How is the book?,0
1152,What concept did Hayek dislike?,0
201,How is the crunch?,0
24948,What are the possible complications from eyelid surgery?,1
305,How is the element?,0
947,Why are Low German varieties regarded as dialects of standard German?,0
117, How many muskets did the French capture in the fall of Vienna?,0
14464,How does type 1 diabetes affect the immune system?,1
927,Why do utility operators often reject renewable resources?,0
682,Can Npos match the wages of public and private sector employers?,0
1451,What movement led to Iran becoming an Islamic republic in 1979?,0
164,How is the quality of the sound?,0
436,How is the night light?,0
1023,"What three words originated from the Proto-Indo-European root *ḱlew- (""be spoken of, fame"")?",0
348,Drosophila has helped develop principles in what kind of linkage?,0
8289,i have been taking 37. 5 mg of phentermine for about a month. i have been nauseated for a few days and want to know if i can use promethazine to help.,1
37114,How long does pain relief from radiofrequency ablation (RFA) last?,1
673,Would a thin or a thick sapwood layer be found in a pine tree?,0
223,"Before insulin, what was the life expectancy of diabetics?",1
126,How do you like the performance?,0
204,How is the pack?,0
562,How are the rooms of the Belgian Suites linked?,0
38164,side effects of didrex if stopped too quickly?,1
1072,What could no longer be associated with debt after laws were passed preventing it?,0
605,How many copies worldwide has Queen's 1995 album sold?,0
105,What might you see in someone with narcissistic personality disorder?,1
115639,what is the difference between arterial hypertension and pulmonary hypertension?,1
4,"Adjusted for inflation, how many dollars were awarded to Bell alongside the Volta Prize?",0
479,Which service do you enjoy most?,0
24779,What are the treatments for hearing loss?,1
478,Is washroom neat?,0
117579,what are the enlarged muscles in ventricles attached to chordae tendinae known as?,1
75354,how do i know the chemo treatment for breast cancer has affected my good normal cells what damage does it cause to my body?,1
82983,is there anyway to reverse the effects of lipodrene xr 725mg? tachycardia @ 190bpm dizziness body shakes sweating and sob,1
42172,When are antibiotics used to treat carbuncles?,1
98,How can I tell if I have the early stages of skin cancer?,1
273,How do you like the sweetness?,0
819,"Compared to other cities in Mexico, Mexico City's growth is?",0
6215,How do doctors find out what stage of breast cancer someone might have?,1
7670,for 2 weeks i've had 2 huge open sores on both of my buttocks what can i do to make it better? i can hardly sit the sores have a little blood & just today forming a scab but their really big sores,1
66177,i'm going to see a plastic surgeon soon to remove a cyst. is it also okay to get a breast implant?,1
39536,How does nail psoriasis affect the surface appearance of nails?,1
503,How is it staff ?,0
16567,What can lead to diverticulosis and diverticulitis?,1
12692,ii have a pimple in my ear. it hurts bad what can ii do? should ii. pop it? can ii use. antipyrne/benzo solution in it for numbing?,1
254,How is reputation?,0
86083,i'm 17 weeks pregnant on my 2nd child experiencing left arm numbness shoulder pain and palpitations any ideas what it could be?,1
76623,hi. how can i know if i have gynecomastia or just fat that has to be burned? i weight about 230lb and my height is 5. 6 ft. thanks.,1
51815,what are the benefits of getting a breast reduction?,1
416,Is it important to maintain order?,0
82269,is bradycardia( low heart rate) bad if you never feel faint or any other problem?,1
18334,What questions should I ask my doctor about my erectile dysfunction?,1
31595,Is adjustment disorder different in children and adults?,1
9168,Is there any way to lower the cost of Gleevec if my insurance doesn't cover it?,1
79948,my husband has ms he's a diabetic and had a mild heart attack. sometimes he has mood swingsf. taking a lot of med what should i do?,1
27787,What are complications of malignant hypertension?,1
51799,what is the prognosis for someone who has stage 3 breast cancer with 16/17 positive lymph nodes?,1
39244,can too much weight gain lead to more frequent headaches?,1
811,Can anyone in Burma Join the military forces in Burma ?,0
17002,What are the most common signs of bowel obstruction?,1
1169,What concept only recognizes one Grand Lodge in a given geographical area?,0
22773,What is a life coach?,1
6363,What is the goal of modified radical mastectomy (MRM)?,1
576,"How do conversion factors compare in ""low-field"" and ""high-field"" methods of measuring the gyromagnetic ratio?",0
65,Do you have any tips on how to take medications for nerve pain?,1
506,Formal legislation cannot be regulated when officials are what?,0
33176,What are the seven triptan drugs to ease migraines?,1
698,Elam's writing system had paralleled Sumer's cuneiform since what era?,0
755,Hokkien is usually written using what characters?,0
53028,which type of breast cancer kills the most women?,1
42608,How do you get warts?,1
48125,what are some potential side effects of getting a breast augmentation too young?,1
1378,What organization is the Plymouth Borough Police a part of?,0
1016,What trend led to Neolithic traditions spreading to northwestern Europe by around 4500 BC?,0
633,Of what party did Gaddafi become president in this period?,0
14798,What should I do before starting a weight loss plan if I have diabetes?,1
